"Module","Gene"
"turquoise","LOC125491203"
"turquoise","LOC105387095"
"turquoise","LOC105384109"
"turquoise","LOC125491226"
"turquoise","LOC105398090"
"turquoise","LOC125491145"
"turquoise","LOC119694787"
"turquoise","LOC119694839"
"turquoise","LOC105388779"
"turquoise","LOC125491291"
"turquoise","LOC105388781"
"turquoise","LOC105388783"
"turquoise","LOC125491213"
"turquoise","LOC105380516"
"turquoise","LOC105380514"
"turquoise","LOC105380504"
"turquoise","LOC105380540"
"turquoise","LOC105384127"
"turquoise","LOC105384123"
"turquoise","LOC105384122"
"turquoise","LOC105394747"
"turquoise","LOC105394744"
"turquoise","LOC105394749"
"turquoise","LOC119694860"
"turquoise","LOC119694861"
"turquoise","LOC119694813"
"turquoise","LOC105381607"
"turquoise","LOC105381606"
"turquoise","LOC105386482"
"turquoise","LOC105386481"
"turquoise","LOC105386480"
"turquoise","LOC105386479"
"turquoise","LOC125491234"
"turquoise","LOC125491209"
"turquoise","LOC125491250"
"turquoise","LOC105386053"
"turquoise","LOC105386049"
"turquoise","LOC105386062"
"turquoise","LOC119694747"
"darkturquoise","LOC119691856"
"darkturquoise","LOC105389914"
"darkturquoise","LOC105388918"
"darkturquoise","LOC105397901"
"darkturquoise","LOC105394105"
"darkturquoise","LOC105385752"
"darkturquoise","LOC105389484"
"darkturquoise","LOC105383265"
"darkturquoise","LOC105389109"
"darkturquoise","LOC105398676"
"darkturquoise","LOC105386623"
"darkturquoise","LOC125489914"
"darkturquoise","LOC125489971"
"darkturquoise","LOC105390949"
"darkturquoise","LOC105389864"
"darkturquoise","LOC105380669"
"darkturquoise","LOC105395526"
"darkturquoise","LOC105384844"
"darkturquoise","LOC105398827"
"darkturquoise","LOC105392650"
"darkturquoise","LOC105384115"
"darkturquoise","LOC105380502"
"darkturquoise","LOC125491298"
"darkturquoise","LOC105380711"
"grey","LOC105381664"
"grey","LOC105394586"
"grey","LOC105383144"
"blue","LOC105382270"
"blue","LOC105392890"
"blue","LOC105387173"
"blue","LOC105383788"
"blue","LOC105383718"
"blue","LOC105383684"
"blue","LOC125489890"
"blue","LOC105381301"
"blue","LOC105393570"
"blue","LOC105394516"
"blue","LOC119692563"
"blue","LOC105382551"
"blue","LOC105398623"
"blue","LOC119694269"
"blue","LOC105398274"
"blue","LOC105381231"
"blue","LOC105379966"
"blue","LOC105383802"
"blue","LOC125489221"
"blue","LOC105391656"
"blue","LOC105391665"
"blue","LOC105391658"
"blue","Trnal-uaa_1"
"blue","LOC105382978"
"blue","LOC105381750"
"blue","LOC125489471"
"blue","LOC105390785"
"blue","LOC105380089"
"blue","LOC105380092"
"blue","LOC119693496"
"blue","LOC105380155"
"blue","LOC119693678"
"blue","LOC105387106"
"blue","LOC119693545"
"blue","LOC105381242"
"blue","LOC119693448"
"blue","LOC119693465"
"blue","LOC105381140"
"blue","LOC105384964"
"blue","LOC105384944"
"blue","LOC105389389"
"blue","LOC105389391"
"blue","LOC105386950"
"blue","LOC105381777"
"blue","LOC105383727"
"blue","LOC105383725"
"blue","LOC105381366"
"blue","LOC105381398"
"blue","LOC105385911"
"blue","LOC119694584"
"blue","LOC105380349"
"blue","LOC105387331"
"blue","LOC105387322"
"blue","LOC105386175"
"blue","LOC105386157"
"blue","LOC105386159"
"blue","LOC105387371"
"blue","LOC119690798"
"blue","LOC105380396"
"blue","LOC105394550"
"blue","LOC105382491"
"blue","LOC105397939"
"blue","LOC105394980"
"blue","LOC105381798"
"blue","LOC125491020"
"blue","LOC105383899"
"blue","LOC105390519"
"blue","LOC105393355"
"blue","LOC105381443"
"blue","LOC105383460"
"blue","LOC125491425"
"blue","LOC105394106"
"blue","LOC105383462"
"blue","LOC105394104"
"blue","LOC119692402"
"blue","LOC105390224"
"blue","LOC105390210"
"blue","LOC105390212"
"blue","LOC105383902"
"blue","LOC105391365"
"blue","LOC119692424"
"blue","LOC105391629"
"blue","LOC125491456"
"blue","LOC105391673"
"blue","LOC105397634"
"blue","LOC105388372"
"blue","LOC105397558"
"blue","LOC105396817"
"blue","LOC105396806"
"blue","LOC105396775"
"blue","LOC105396722"
"blue","LOC119692389"
"blue","LOC105398337"
"blue","LOC105393358"
"blue","LOC105389299"
"blue","LOC105389289"
"blue","LOC105392323"
"blue","LOC105385217"
"blue","LOC105389187"
"blue","LOC105389163"
"blue","LOC105391248"
"blue","LOC105391250"
"blue","LOC105391265"
"blue","LOC105385475"
"blue","LOC105385477"
"blue","LOC105385479"
"blue","LOC105385481"
"blue","LOC125488495"
"blue","LOC105382589"
"blue","LOC105398272"
"blue","LOC105387529"
"blue","LOC125491423"
"blue","LOC105386363"
"blue","LOC105391273"
"blue","LOC105393958"
"blue","LOC105390550"
"blue","LOC105398627"
"blue","LOC119692405"
"blue","LOC125491410"
"blue","LOC105388727"
"blue","LOC105387476"
"blue","LOC125488605"
"blue","LOC105385159"
